GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
song-microservice,com.csc301.songmicroservice,Song,92,0,0,0,29,0,13,0,13,0
song-microservice,com.csc301.songmicroservice,SongMicroserviceApplication,11,0,0,0,4,0,2,0,2,0
song-microservice,com.csc301.songmicroservice,DbQueryStatus,11,22,0,0,5,9,3,4,3,4
song-microservice,com.csc301.songmicroservice,SongController,345,0,8,0,61,0,10,0,6,0
song-microservice,com.csc301.songmicroservice,SongDalImpl,177,59,24,4,32,16,16,4,4,2
song-microservice,com.csc301.songmicroservice,Utils,61,0,8,0,15,0,9,0,4,0
song-microservice,com.csc301.songmicroservice,DbQueryExecResult,0,21,0,0,0,4,0,1,0,1
