GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
profile-microservice,com.csc301.profilemicroservice,DbQueryExecResult,21,0,0,0,2,0,1,0,1,0
profile-microservice,com.csc301.profilemicroservice,ProfileMicroserviceApplication,20,2,0,0,7,1,2,1,2,1
profile-microservice,com.csc301.profilemicroservice,ProfileDriverImpl,529,0,70,0,113,0,42,0,7,0
profile-microservice,com.csc301.profilemicroservice,Utils,61,0,8,0,15,0,9,0,4,0
profile-microservice,com.csc301.profilemicroservice,PlaylistDriverImpl,418,0,48,0,88,0,32,0,8,0
profile-microservice,com.csc301.profilemicroservice,DbQueryStatus,33,0,0,0,14,0,7,0,7,0
profile-microservice,com.csc301.profilemicroservice,ProfileController,455,0,10,0,80,0,14,0,9,0
